AirlineCode,Country,AirlineName
1T,South Africa,1Time Airline
RNX,South Africa,1Time Airline
Q5,United States,40-Mile Air
MLA,United States,40-Mile Air
AN,Australia,Ansett Australia
AAA,Australia,Ansett Australia
1B,Singapore,Abacus International
W9,United States,Eastwind Airlines
AAB,Belgium,Abelag Aviation
ZI,France,Aigle Azur
AAF,France,Aigle Azur
AQ,United States,Aloha Airlines
AAH,United States,Aloha Airlines
AA,United States,American Airlines
AAL,United States,American Airlines
OZ,United States,Ozark Air Lines
AAR,Republic of Korea,Asiana Airlines
4K,Pakistan,Askari Aviation
AAS,Pakistan,Askari Aviation
8U,Libya,Afriqiyah Airways
AAW,Libya,Afriqiyah Airways
Q9,Niger,Arik Niger
AFU,Gambia,Afrinat International Airlines
G4,United States,Allegiant Air
AAY,United States,Allegiant Air
K5,United States,SeaPort Airlines
ABE,Iran,Aban Air
M3,Denmark,North Flying
TUS,Brazil,ABSA - Aerolinhas Brasileiras
04,Ghana,Antrak Air
ABV,Ghana,Antrak Air
GB,Brazil,BRAZIL AIR
ABX,United States,ABX Air
8V,United States,Wright Air Service
ACP,Kenya,Astral Aviation
E4,Cameroon,Elysian Airlines
RSO,Pakistan,Aero Asia International
YT,Nepal,Yeti Airways
TGA,Togo,Air Togo
4G,Russia,Gazpromavia
7A,United States,Aztec Worldwide Airlines
8T,Canadian Territories,Air Tindi
ZY,Albania,Ada Air
ADE,Albania,Ada Air
Z7,Barbados,REDjet
ADK,Nigeria,ADC Airlines
JP,Slovenia,Adria Airways
ADR,Slovenia,Adria Airways
UX,Spain,Air Europa
AEA,Spain,Air Europa
EM,United States,Empire Airlines
AEB,Benin,Aero Benin
A3,Greece,Aegean Airlines
AEE,Greece,Aegean Airlines
KI,Indonesia,Adam Air
AAG,United Kingdom,Air Atlantique
PE,Italy,Air Europe
AEL,Italy,Air Europe
KO,United States,Alaska Central Express
AER,United States,Alaska Central Express
5W,United Kingdom,Astraeus
AEU,United Kingdom,Astraeus
VV,Ukraine,Aerosvit Airlines
AEW,Ukraine,Aerosvit Airlines
I9,United States,Indigo
AEY,Italy,Air Italy
WK,Switzerland,Edelweiss Air
AFB,Argentina,American Falcon
QQ,United States,Reno Air
UTY,Australia,Alliance Airlines
FG,Afghanistan,Ariana Afghan Airlines
AFG,Afghanistan,Ariana Afghan Airlines
SU,Russia,Aeroflot Russian Airlines
AFL,Russia,Aeroflot Russian Airlines
JA,Bosnia and Herzegovina,B&H Airlines
BON,Bosnia and Herzegovina,B&H Airlines
AF,France,Air France
AFR,France,Air France
SB,France,Air Caledonie International
ACI,France,Air Caledonie International
GN,Brazil,GNB Linhas Aereas
AGN,Gabon,Air Gabon
2O,Sierra Leone,Air Salone
2Q,United States,Air Cargo Carriers
SNC,United States,Air Cargo Carriers
V7,Spain,VOLOTEA Airways
SNG,Senegal,Air Senegal International
SW,Namibia,Air Namibia
NMB,Namibia,Air Namibia
G8,India,Gujarat Airways
AGB,Gabon,Air Service Gabon
5D,Ukraine,DonbassAero
SLI,Mexico,Aerolitoral
1A,Spain,Amadeus Global Travel Distribution
AGT,Spain,Amadeus Global Travel Distribution
7T,Libya,Tobruk Air
AGV,Switzerland,Air Glaciers
PL,Russia,Airstars
PLI,Peru,Aeroper
8A,Morocco,Atlas Blue
BMM,Morocco,Atlas Blue
GD,Netherlands,GoDutch
AHA,Denmark,Air Alpha Greenland
LD,Venezuela,Linea Turistica Aerotuy
AHK,Hong Kong,Air Hong Kong
HT,Greece,Hellenic Imperial Airways
AHW,Ukraine,Aeromist-Kharkiv
J2,Azerbaijan,Azerbaijan Airlines
AHY,Azerbaijan,Azerbaijan Airlines
U3,Estonia,Avies
AIA,Estonia,Avies
AP,Italy,Air One
AIB,France,Airbus Industrie
5A,United States,Alpine Air Express
AIP,United States,Alpine Air Express
ED,Pakistan,Airblue
ABQ,Pakistan,Airblue
AB,Germany,Air Berlin
BER,Germany,Air Berlin
AG,United States,All America US
ABR,Ireland,Air Contractors
AI,India,Air India Limited
AIC,India,Air India Limited
ZB,United Kingdom,Monarch Airlines
BUB,Reunion,Air Bourbon
CC,Australia,Macair Airlines
ABD,Iceland,Air Atlanta Icelandic
RB,Syrian Arab Republic,Syrian Arab Airlines
SBK,Bosnia and Herzegovina,Air Srpska
TN,France,Air Tahiti Nui
THT,France,Air Tahiti Nui
W4,Russia,AeroWorld 
BES,France,Aero Services Executive
IZ,Israel,Arkia Israel Airlines
AIZ,Israel,Arkia Israel Airlines
JM,Jamaica,Air Jamaica
AJM,Jamaica,Air Jamaica
ADH,Italy,Air One
S2,India,Air Sahara
RSH,India,Air Sahara
KM,Malta,Air Malta
AMC,Malta,Air Malta
M6,United States,Amerijet International
AJT,United States,Amerijet International
NQ,Japan,Air Japan
AJX,Japan,Air Japan
4A,Kiribati,Air Kiribati
AKL,Kiribati,Air Kiribati
EH,Portugal,Euro Harmony
AKX,Japan,Air Nippon Network Co. Ltd.
HP,Switzerland,Phoenix Airways
AWE,United States,America West Airlines
ZW,United States,Air Wisconsin
AWI,United States,Air Wisconsin
U9,Russia,Tatarstan Airlines
TAK,Russia,Tatarstan Airlines
VD,Sweden,SwedJet Airways
TT,Australia,Tiger Airways Australia
KLA,Lithuania,Air Lithuania
QM,Malawi,Air Malawi
AML,Malawi,Air Malawi
BM,Indonesia,Bayu Indonesia Air
NX,Macao,Air Macau
AMU,Macao,Air Macau
ZV,Taiwan,V Air
AMW,United States,Air Midwest
HM,Seychelles,Air Seychelles
SEY,Seychelles,Air Seychelles
AM,Mexico,AeroMéxico
AMX,Mexico,AeroMéxico
NH,Japan,All Nippon Airways
ANA,Japan,All Nippon Airways
YW,Spain,Air Nostrum
ANE,Spain,Air Nostrum
PX,Papua New Guinea,Air Niugini
ANG,Papua New Guinea,Air Niugini
G9,United Arab Emirates,Air Arabia
ABY,United Arab Emirates,Air Arabia
AC,Canada,Air Canada
ACA,Canada,Air Canada
BT,Latvia,Air Baltic
BTI,Latvia,Air Baltic
EL,Japan,Air Nippon
ANK,Japan,Air Nippon
TL,Lebanon,Trans Mediterranean Airlines
ANO,Australia,Airnorth
4N,Canada,Air North Charter - Canada
ANT,Canada,Air North Charter - Canada
IW,Indonesia,Wings Air
AOM,France,AOM French Airlines
NZ,New Zealand,Air New Zealand
ANZ,New Zealand,Air New Zealand
J6,Russia,AVCOM
AOC,Russia,AVCOM
2D,Portugal,Aero VIP (2D)
AOG,Argentina,Aero VIP
6V,Uruguay,Via Conectia Airlines
VGA,United States,Air Vegas
XM,Italy,Alitalia Express
SMX,Italy,Alitalia Express
OE,United States,WestAir Airlines 
AOT,Philippines,Asia Overnight Express
GV,Germany,Aero Flight
ARF,Germany,Aero Flight
JW,United States,Arrow Air
APW,United States,Arrow Air
W3,United States,World Scale Airlines
ARA,Nigeria,Arik Air
2B,Portugal,Aerocondor
ARD,Portugal,Aerocondor
AR,Argentina,Aerolineas Argentinas
ARG,Argentina,Aerolineas Argentinas
QN,Canada,Royal
ARR,Armenia,Air Armenia
AS,ALASKA,Alaska Airlines
ASA,ALASKA,Alaska Airlines
4D,Egypt,Air Sinai
ASD,Egypt,Air Sinai
ASE,Russia,Airstars
EV,United States,Atlantic Southeast Airlines
ASQ,United States,Atlantic Southeast Airlines
OB,Russia,Astrakhan Airlines
ASZ,Russia,Astrakhan Airlines
TC,Tanzania,Air Tanzania
ATC,Tanzania,Air Tanzania
2J,Burkina Faso,Air Burkina
VBW,Burkina Faso,Air Burkina
HC,Nepal,Himalayan Airlines
ATI,Australia,Aero-Tropics Air Services
FO,Australia,Airlines Of Tasmania
ATM,Australia,Airlines Of Tasmania
PJ,France,Air Saint Pierre
SPM,France,Air Saint Pierre
8C,China,Shanxi Airlines
ATN,United States,Air Transport International
OS,Austria,Austrian Airlines
AUA,Austria,Austrian Airlines
IQ,Germany,Augsburg Airways
AUB,Germany,Augsburg Airways
RU,United Kingdom,Rainbow Air Euro
ABW,Russia,AirBridge Cargo
MO,Canada,Calm Air
AUH,United Arab Emirates,Abu Dhabi Amiri Flight
5N,Russia,Aeroflot-Nord
AUL,Russia,Aeroflot-Nord
GR,United States,Gemini Air Cargo
AUR,United Kingdom,Aurigny Air Services
NO,United States,North Pacific Airlines
AUS,Australia,Aus-Air
AU,Argentina,Austral Lineas Aereas
AUT,Argentina,Austral Lineas Aereas
AO,Russia,Avianova (Russia)
AUZ,Australia,Australian Airlines
AV,AVIANCA,Avianca - Aerovias Nacionales de Colombia
AVA,AVIANCA,Avianca - Aerovias Nacionales de Colombia
NF,Vanuatu,Air Vanuatu
AVN,Vanuatu,Air Vanuatu
K8,Zambia,Zambia Skyways
ZAK,Zambia,Airlink Zambia
B9,Bangladesh,Air Bangladesh
BGD,Bangladesh,Air Bangladesh
DR,France,Air Mediterranee
BIE,France,Air Mediterranee
7E,Germany,Aeroline GmbH
AWU,Germany,Aeroline GmbH
6G,United Kingdom,Air Wales
AWW,United Kingdom,Air Wales
TX,France,Air Caraïbes
FWI,France,Air Caraïbes
IX,India,Air India Express
AXB,India,Air India Express
HJ,Australia,Asian Express Airlines
AXF,Australia,Asian Express Airlines
XT,Netherlands,Air Exel
AXL,Netherlands,Air Exel
AK,Malaysia,AirAsia
AXM,Malaysia,AirAsia
AXY,France,Axis Airways
3G,Russia,Atlant-Soyuz Airlines
AYZ,Russia,Atlant-Soyuz Airlines
AZ,Italy,Alitalia
AZA,Italy,Alitalia
ZE,South Korea,Eastar Jet
AZE,Germany,Arcus-Air Logistic
Z8,Bolivia,Amaszonas
AZN,Bolivia,Amaszonas
UM,Zimbabwe,Air Zimbabwe
AZW,Zimbabwe,Air Zimbabwe
R7,Venezuela,Aserca Airlines
OCA,Venezuela,Aserca Airlines
FV,Russia,Rossiya-Russian Airlines
SDM,Russia,Rossiya-Russian Airlines
RX,United States,Rainbow Air Polynesia
AEH,Hungary,Aviaexpress
MQ,United States,American Eagle Airlines
EGF,United States,American Eagle Airlines
FF,France,Fly France
ML,Maldives,Maldivo Airlines
VU,Ivory Coast,Air Ivoire
VUN,Ivory Coast,Air Ivoire
BP,Botswana,Air Botswana
BOT,Botswana,Air Botswana
GS,United States,Grant Aviation
UPA,United Kingdom,Air Foyle
VT,French Polynesia,Air Tahiti
VTA,French Polynesia,Air Tahiti
3N,Ukraine,Air Urga
URG,Ukraine,Air Urga
VL,Bulgaria,Air VIA
VIM,Bulgaria,Air VIA
FK,Togo,Africa West
WTA,Togo,Africa West
G2,Gabon,Avirex
VXG,Gabon,Avirex
V8,Russian Federation,ATRAN Cargo Airlines
VAS,Russian Federation,ATRAN Cargo Airlines
VE,Italy,Volare Airlines
AVE,Venezuela,Avensa
V5,Slovakia,Danube Wings (V5)
VLI,Mexico,Avolar Aerolineas
CA,China,Air China
CCA,China,Air China
Q6,Peru,Aero Condor Peru
CDP,Peru,Aero Condor Peru
5F,United States,Arctic Circle Air Service
CIR,United States,Arctic Circle Air Service
QC,Cameroon,Camair-co
CRD,Mozambique,Air Corridor
NV,Japan,Naka Nihon Airlines Service
CRF,Japan,Air Central
CV,Luxembourg,Cargolux
CVA,New Zealand,Air Chathams
CW,Marshall Islands,Air Marshall Islands
CWM,Marshall Islands,Air Marshall Islands
ZA,Russia,Interavia Airlines
CYD,United States,Access Air
AH,Algeria,Air Algerie
DAH,Algeria,Air Algerie
DHI,Indonesia,Adam Air
ER,Spain,Fly Europa
DHL,United States,Astar Air Cargo
HO,China,Juneyao Airlines
DJA,Algeria,Antinea Airlines
EN,Italy,Air Dolomiti
DLA,Italy,Air Dolomiti
D9,Russia,Aeroflot-Don
DNV,Russia,Aeroflot-Don
NM,New Zealand,Mount Cook Airlines
DRD,Spain,Air Madrid
EE,Estonia,Nordica
EAY,Estonia,Aero Airlines
4F,Germany,Air City
ECE,Germany,Air City
EI,Ireland,Aer Lingus
EIN,Ireland,Aer Lingus
E8,Thailand,City Airways
ELG,Italy,Alpi Eagles
KY,Greece,KSY
EQL,Air S,Air S
PC,Turkey,Pegasus Airlines
FAJ,Fiji,Air Fiji
OF,Finland,Air Finland
FIF,Finland,Air Finland
FJ,Fiji,Air Pacific
FJI,Fiji,Air Pacific
RC,Faroe Islands,Atlantic Airways
FLI,Faroe Islands,Atlantic Airways
QH,Kyrgyzstan,Kyrgyzstan
FLZ,United States,Air Florida
NY,Iceland,Air Iceland
FXI,Iceland,Air Iceland
2P,Philippines,Air Philippines
GAP,Philippines,Air Philippines
ZX,Japan,Japan Regio
GGN,Canada,Air Georgian
2U,Guinea,Air Guinee Express
GIP,Guinea,Air Guinee Express
0A,Lithuania,Amber Air
GNT,Lithuania,Amber Air
DA,Nigeria,Dana Air
GRG,Georgia,Air Georgia
GL,United States,Miami Air International
GRL,Denmark,Air Greenland
LL,Mexico,Allegro
GRO,Mexico,Allegro
5Y,United States,Atlas Air
GTI,United States,Atlas Air
GG,United States,Cargo 360
GUY,French Guiana,Air Guyane
H9,Turkey,PEGASUS AIRLINES-
HAD,Haiti,Air D'Ayiti
HAH,Comoros,Air Comores International
HZT,Togo,Air Horizon
JAB,Myanmar,Air Bagan
IP,Iceland,Island Spirit
JOL,Kazakhstan,Atyrau Air Ways
QK,Canada,Air Canada Jazz
JZA,Canada,Air Canada Jazz
KK,Turkey,Atlasjet
KKK,Turkey,Atlasjet
KC,Kazakhstan,Air Astana
KZR,Kazakhstan,Air Astana
LV,Albania,Albanian Airlines
LBC,Albania,Albanian Airlines
D4,Italy,Alidaunia
LID,Italy,Alidaunia
CD,India,Air India Regional
LLR,India,Alliance Air
XL,Ecuador,Aerolane
LNE,Ecuador,Aerolane
A6,Austria,Air Alps Aviation (A6)
LPV,Austria,Air Alps Aviation
TD,Netherland,Tulip Air
LUR,Armenia,Atlantis European Airways
LK,Portugal,Air Luxor
LXR,Portugal,Air Luxor
MK,Mauritius,Air Mauritius
MAU,Mauritius,Air Mauritius
MD,Madagascar,Air Madagascar
MDG,Madagascar,Air Madagascar
9U,Moldova,Air Moldova
MLD,Moldova,Air Moldova
M0,Mongolia,Aero Mongolia
MNG,Mongolia,Aero Mongolia
A7,Spain,Air Plus Comet
MPD,Spain,Air Plus Comet
QO,New Zealand,Origin Pacific Airways
MPX,Mexico,Aeromexpress
MR,Germany,Homer Air
MRT,Mauritania,Air Mauritanie
3S,Guadeloupe,Air Antilles Express
8D,United States,Servant Air
F4,Italy,International Flying Service
NBK,Nigeria,Albarka Air
AJ,Nigeria,Aero Contractors
NIG,Nigeria,Aero Contractors
8Y,China,China Postal Airlines
PBU,Burundi,Air Burundi
OT,Australia,Aeropelican Air Services
PEL,Australia,Aeropelican Air Services
AD,Brazil,Azul
PRZ,Indonesia,Air Paradise International
QD,Russia,Dobrolet
QCL,Uruguay,Air Class Lineas Aereas
QS,Czech Republic,Travel Service
QSC,Kenya,African Safari Airways
4Y,France,Airbus France
RBU,France,Airbus France
MC,United States,Air Mobility Command
RCH,United States,Air Mobility Command
RE,Ireland,Aer Arann
REA,Ireland,Aer Arann
UU,France,Air Austral
REU,France,Air Austral
6K,Philippines,Asian Spirit
RIT,Philippines,Asian Spirit
RK,Cambodia,Royal Khmer Airlines
RKA,Ivory Coast,Air Afrique
A5,France,Airlinair
RLA,France,Airlinair
